            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458044.958333333, A.D. 2017-Oct-18 11:00:00.0000,  4.280766890900103E+09, -1.318995447336223E+09, -7.149233426843727E+07,
2458045.000000000, A.D. 2017-Oct-18 12:00:00.0000,  4.280772521382455E+09, -1.318976631016420E+09, -7.149285020589477E+07,
2458045.041666667, A.D. 2017-Oct-18 13:00:00.0000,  4.280778151789052E+09, -1.318957814677686E+09, -7.149336615276438E+07,
2458045.083333333, A.D. 2017-Oct-18 14:00:00.0000,  4.280783782119913E+09, -1.318938998319995E+09, -7.149388210903496E+07,
2458045.125000000, A.D. 2017-Oct-18 15:00:00.0000,  4.280789412375056E+09, -1.318920181943318E+09, -7.149439807469618E+07,
2458045.166666667, A.D. 2017-Oct-18 16:00:00.0000,  4.280795042554503E+09, -1.318901365547627E+09, -7.149491404973704E+07,
2458045.208333333, A.D. 2017-Oct-18 17:00:00.0000,  4.280800672658272E+09, -1.318882549132893E+09, -7.149543003414714E+07,
2458045.250000000, A.D. 2017-Oct-18 18:00:00.0000,  4.280806302686383E+09, -1.318863732699090E+09, -7.149594602791536E+07,
2458045.291666667, A.D. 2017-Oct-18 19:00:00.0000,  4.280811932638855E+09, -1.318844916246188E+09, -7.149646203103155E+07,
2458045.333333333, A.D. 2017-Oct-18 20:00:00.0000,  4.280817562515709E+09, -1.318826099774160E+09, -7.149697804348457E+07,
2458045.375000000, A.D. 2017-Oct-18 21:00:00.0000,  4.280823192316963E+09, -1.318807283282979E+09, -7.149749406526375E+07,
2458045.416666667, A.D. 2017-Oct-18 22:00:00.0000,  4.280828822042637E+09, -1.318788466772614E+09, -7.149801009635884E+07,
2458045.458333333, A.D. 2017-Oct-18 23:00:00.0000,  4.280834451692751E+09, -1.318769650243040E+09, -7.149852613675845E+07,
2458045.500000000, A.D. 2017-Oct-19 00:00:00.0000,  4.280840081267325E+09, -1.318750833694228E+09, -7.149904218645245E+07,
2458045.541666667, A.D. 2017-Oct-19 01:00:00.0000,  4.280845710766377E+09, -1.318732017126149E+09, -7.149955824542999E+07,
2458045.583333333, A.D. 2017-Oct-19 02:00:00.0000,  4.280851340189928E+09, -1.318713200538776E+09, -7.150007431368023E+07,
2458045.625000000, A.D. 2017-Oct-19 03:00:00.0000,  4.280856969537996E+09, -1.318694383932081E+09, -7.150059039119244E+07,
2458045.666666667, A.D. 2017-Oct-19 04:00:00.0000,  4.280862598810603E+09, -1.318675567306035E+09, -7.150110647795606E+07,
2458045.708333333, A.D. 2017-Oct-19 05:00:00.0000,  4.280868228007766E+09, -1.318656750660611E+09, -7.150162257396036E+07,
2458045.750000000, A.D. 2017-Oct-19 06:00:00.0000,  4.280873857129507E+09, -1.318637933995781E+09, -7.150213867919487E+07,
2458045.791666667, A.D. 2017-Oct-19 07:00:00.0000,  4.280879486175844E+09, -1.318619117311516E+09, -7.150265479364836E+07,
2458045.833333333, A.D. 2017-Oct-19 08:00:00.0000,  4.280885115146796E+09, -1.318600300607789E+09, -7.150317091731054E+07,
2458045.875000000, A.D. 2017-Oct-19 09:00:00.0000,  4.280890744042385E+09, -1.318581483884572E+09, -7.150368705017048E+07,
2458045.916666667, A.D. 2017-Oct-19 10:00:00.0000,  4.280896372862628E+09, -1.318562667141836E+09, -7.150420319221783E+07,
2458045.958333333, A.D. 2017-Oct-19 11:00:00.0000,  4.280902001607545E+09, -1.318543850379553E+09, -7.150471934344155E+07,
2458046.000000000, A.D. 2017-Oct-19 12:00:00.0000,  4.280907630277157E+09, -1.318525033597696E+09, -7.150523550383091E+07,
2458046.041666667, A.D. 2017-Oct-19 13:00:00.0000,  4.280913258871483E+09, -1.318506216796236E+09, -7.150575167337555E+07,
2458046.083333333, A.D. 2017-Oct-19 14:00:00.0000,  4.280918887390542E+09, -1.318487399975146E+09, -7.150626785206443E+07,
2458046.125000000, A.D. 2017-Oct-19 15:00:00.0000,  4.280924515834353E+09, -1.318468583134398E+09, -7.150678403988701E+07,
2458046.166666667, A.D. 2017-Oct-19 16:00:00.0000,  4.280930144202938E+09, -1.318449766273962E+09, -7.150730023683256E+07,
2458046.208333333, A.D. 2017-Oct-19 17:00:00.0000,  4.280935772496314E+09, -1.318430949393812E+09, -7.150781644289035E+07,
2458046.250000000, A.D. 2017-Oct-19 18:00:00.0000,  4.280941400714502E+09, -1.318412132493920E+09, -7.150833265804970E+07,
2458046.291666667, A.D. 2017-Oct-19 19:00:00.0000,  4.280947028857521E+09, -1.318393315574256E+09, -7.150884888230014E+07,
2458046.333333333, A.D. 2017-Oct-19 20:00:00.0000,  4.280952656925391E+09, -1.318374498634794E+09, -7.150936511563063E+07,
2458046.375000000, A.D. 2017-Oct-19 21:00:00.0000,  4.280958284918131E+09, -1.318355681675506E+09, -7.150988135803044E+07,
2458046.416666667, A.D. 2017-Oct-19 22:00:00.0000,  4.280963912835761E+09, -1.318336864696362E+09, -7.151039760948920E+07,
2458046.458333333, A.D. 2017-Oct-19 23:00:00.0000,  4.280969540678300E+09, -1.318318047697336E+09, -7.151091386999601E+07,
2458046.500000000, A.D. 2017-Oct-20 00:00:00.0000,  4.280975168445769E+09, -1.318299230678399E+09, -7.151143013954014E+07,
2458046.541666667, A.D. 2017-Oct-20 01:00:00.0000,  4.280980796138186E+09, -1.318280413639523E+09, -7.151194641811115E+07,
2458046.583333333, A.D. 2017-Oct-20 02:00:00.0000,  4.280986423755571E+09, -1.318261596580680E+09, -7.151246270569783E+07,
2458046.625000000, A.D. 2017-Oct-20 03:00:00.0000,  4.280992051297944E+09, -1.318242779501843E+09, -7.151297900228983E+07,
2458046.666666667, A.D. 2017-Oct-20 04:00:00.0000,  4.280997678765324E+09, -1.318223962402982E+09, -7.151349530787659E+07,
2458046.708333333, A.D. 2017-Oct-20 05:00:00.0000,  4.281003306157731E+09, -1.318205145284071E+09, -7.151401162244713E+07,
2458046.750000000, A.D. 2017-Oct-20 06:00:00.0000,  4.281008933475184E+09, -1.318186328145081E+09, -7.151452794599074E+07,
2458046.791666667, A.D. 2017-Oct-20 07:00:00.0000,  4.281014560717703E+09, -1.318167510985983E+09, -7.151504427849686E+07,
2458046.833333333, A.D. 2017-Oct-20 08:00:00.0000,  4.281020187885308E+09, -1.318148693806751E+09, -7.151556061995488E+07,
2458046.875000000, A.D. 2017-Oct-20 09:00:00.0000,  4.281025814978018E+09, -1.318129876607356E+09, -7.151607697035396E+07,
2458046.916666667, A.D. 2017-Oct-20 10:00:00.0000,  4.281031441995853E+09, -1.318111059387769E+09, -7.151659332968330E+07,
2458046.958333333, A.D. 2017-Oct-20 11:00:00.0000,  4.281037068938832E+09, -1.318092242147964E+09, -7.151710969793218E+07,
2458047.000000000, A.D. 2017-Oct-20 12:00:00.0000,  4.281042695806975E+09, -1.318073424887912E+09, -7.151762607509035E+07,
2458047.041666667, A.D. 2017-Oct-20 13:00:00.0000,  4.281048322600301E+09, -1.318054607607584E+09, -7.151814246114659E+07,
2458047.083333333, A.D. 2017-Oct-20 14:00:00.0000,  4.281053949318830E+09, -1.318035790306953E+09, -7.151865885609055E+07,
2458047.125000000, A.D. 2017-Oct-20 15:00:00.0000,  4.281059575962582E+09, -1.318016972985991E+09, -7.151917525991118E+07,
2458047.166666667, A.D. 2017-Oct-20 16:00:00.0000,  4.281065202531576E+09, -1.317998155644670E+09, -7.151969167259818E+07,
2458047.208333333, A.D. 2017-Oct-20 17:00:00.0000,  4.281070829025831E+09, -1.317979338282962E+09, -7.152020809414053E+07,
2458047.250000000, A.D. 2017-Oct-20 18:00:00.0000,  4.281076455445367E+09, -1.317960520900838E+09, -7.152072452452761E+07,
2458047.291666667, A.D. 2017-Oct-20 19:00:00.0000,  4.281082081790205E+09, -1.317941703498271E+09, -7.152124096374887E+07,
2458047.333333333, A.D. 2017-Oct-20 20:00:00.0000,  4.281087708060363E+09, -1.317922886075234E+09, -7.152175741179335E+07,
2458047.375000000, A.D. 2017-Oct-20 21:00:00.0000,  4.281093334255861E+09, -1.317904068631696E+09, -7.152227386865073E+07,
2458047.416666667, A.D. 2017-Oct-20 22:00:00.0000,  4.281098960376719E+09, -1.317885251167632E+09, -7.152279033430988E+07,
2458047.458333333, A.D. 2017-Oct-20 23:00:00.0000,  4.281104586422955E+09, -1.317866433683012E+09, -7.152330680876034E+07,
2458047.500000000, A.D. 2017-Oct-21 00:00:00.0000,  4.281110212394590E+09, -1.317847616177808E+09, -7.152382329199141E+07,
2458047.541666667, A.D. 2017-Oct-21 01:00:00.0000,  4.281115838291644E+09, -1.317828798651993E+09, -7.152433978399229E+07,
2458047.583333333, A.D. 2017-Oct-21 02:00:00.0000,  4.281121464114135E+09, -1.317809981105539E+09, -7.152485628475243E+07,
2458047.625000000, A.D. 2017-Oct-21 03:00:00.0000,  4.281127089862083E+09, -1.317791163538417E+09, -7.152537279426098E+07,
2458047.666666667, A.D. 2017-Oct-21 04:00:00.0000,  4.281132715535509E+09, -1.317772345950601E+09, -7.152588931250733E+07,
2458047.708333333, A.D. 2017-Oct-21 05:00:00.0000,  4.281138341134430E+09, -1.317753528342060E+09, -7.152640583948076E+07,
2458047.750000000, A.D. 2017-Oct-21 06:00:00.0000,  4.281143966658868E+09, -1.317734710712768E+09, -7.152692237517047E+07,
2458047.791666667, A.D. 2017-Oct-21 07:00:00.0000,  4.281149592108842E+09, -1.317715893062696E+09, -7.152743891956592E+07,
2458047.833333333, A.D. 2017-Oct-21 08:00:00.0000,  4.281155217484372E+09, -1.317697075391817E+09, -7.152795547265655E+07,
2458047.875000000, A.D. 2017-Oct-21 09:00:00.0000,  4.281160842785475E+09, -1.317678257700102E+09, -7.152847203443098E+07,
2458047.916666667, A.D. 2017-Oct-21 10:00:00.0000,  4.281166468012173E+09, -1.317659439987524E+09, -7.152898860487926E+07,
2458047.958333333, A.D. 2017-Oct-21 11:00:00.0000,  4.281172093164485E+09, -1.317640622254054E+09, -7.152950518399042E+07,
2458048.000000000, A.D. 2017-Oct-21 12:00:00.0000,  4.281177718242431E+09, -1.317621804499664E+09, -7.153002177175367E+07,
2458048.041666667, A.D. 2017-Oct-21 13:00:00.0000,  4.281183343246029E+09, -1.317602986724326E+09, -7.153053836815840E+07,
2458048.083333333, A.D. 2017-Oct-21 14:00:00.0000,  4.281188968175300E+09, -1.317584168928013E+09, -7.153105497319382E+07,
2458048.125000000, A.D. 2017-Oct-21 15:00:00.0000,  4.281194593030263E+09, -1.317565351110696E+09, -7.153157158684927E+07,
2458048.166666667, A.D. 2017-Oct-21 16:00:00.0000,  4.281200217810938E+09, -1.317546533272348E+09, -7.153208820911425E+07,
2458048.208333333, A.D. 2017-Oct-21 17:00:00.0000,  4.281205842517345E+09, -1.317527715412939E+09, -7.153260483997792E+07,
2458048.250000000, A.D. 2017-Oct-21 18:00:00.0000,  4.281211467149502E+09, -1.317508897532443E+09, -7.153312147942942E+07,
2458048.291666667, A.D. 2017-Oct-21 19:00:00.0000,  4.281217091707430E+09, -1.317490079630831E+09, -7.153363812745833E+07,
2458048.333333333, A.D. 2017-Oct-21 20:00:00.0000,  4.281222716191148E+09, -1.317471261708075E+09, -7.153415478405368E+07,
2458048.375000000, A.D. 2017-Oct-21 21:00:00.0000,  4.281228340600675E+09, -1.317452443764147E+09, -7.153467144920504E+07,
2458048.416666667, A.D. 2017-Oct-21 22:00:00.0000,  4.281233964936032E+09, -1.317433625799020E+09, -7.153518812290144E+07,
2458048.458333333, A.D. 2017-Oct-21 23:00:00.0000,  4.281239589197237E+09, -1.317414807812664E+09, -7.153570480513233E+07,
2458048.500000000, A.D. 2017-Oct-22 00:00:00.0000,  4.281245213384311E+09, -1.317395989805053E+09, -7.153622149588698E+07,
2458048.541666667, A.D. 2017-Oct-22 01:00:00.0000,  4.281250837497272E+09, -1.317377171776157E+09, -7.153673819515473E+07,
2458048.583333333, A.D. 2017-Oct-22 02:00:00.0000,  4.281256461536141E+09, -1.317358353725950E+09, -7.153725490292472E+07,
2458048.625000000, A.D. 2017-Oct-22 03:00:00.0000,  4.281262085500938E+09, -1.317339535654402E+09, -7.153777161918634E+07,
